model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     tolerance = 1e-50
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             O2_g: {'pressure': 5}
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     unitcell_area = 9e-20
model   INFO     active_ratio = 0.4444444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO           7.64%            0.000038      9.35915390e-01      1.66448342e-02
model.solvers.SteadyStateSolver   INFO           7.68%            0.000038      9.36606260e-01      1.64755687e-02
model.solvers.SteadyStateSolver   INFO           7.72%            0.000039      9.37288523e-01      1.63078267e-02
model.solvers.SteadyStateSolver   INFO           7.76%            0.000039      9.37962307e-01      1.61415993e-02
model.solvers.SteadyStateSolver   INFO           7.80%            0.000039      9.38627736e-01      1.59768778e-02
model.solvers.SteadyStateSolver   INFO           7.84%            0.000039      9.39284933e-01      1.58136534e-02
model.solvers.SteadyStateSolver   INFO           7.88%            0.000039      9.39934017e-01      1.56519172e-02
model.solvers.SteadyStateSolver   INFO           7.92%            0.000040      9.40575109e-01      1.54916600e-02
model.solvers.SteadyStateSolver   INFO           7.96%            0.000040      9.41208322e-01      1.53328728e-02
model.solvers.SteadyStateSolver   INFO           8.00%            0.000040      9.41833772e-01      1.51755465e-02
model.solvers.SteadyStateSolver   INFO           8.04%            0.000040      9.42451570e-01      1.50196716e-02
model.solvers.SteadyStateSolver   INFO           8.08%            0.000040      9.43061825e-01      1.48652391e-02
model.solvers.SteadyStateSolver   INFO           8.12%            0.000041      9.43664647e-01      1.47122393e-02
model.solvers.SteadyStateSolver   INFO           8.16%            0.000041      9.44260141e-01      1.45606630e-02
model.solvers.SteadyStateSolver   INFO           8.20%            0.000041      9.44848411e-01      1.44105006e-02
model.solvers.SteadyStateSolver   INFO           8.24%            0.000041      9.45429559e-01      1.42617426e-02
model.solvers.SteadyStateSolver   INFO           8.28%            0.000041      9.46003686e-01      1.41143795e-02
model.solvers.SteadyStateSolver   INFO           8.32%            0.000042      9.46570890e-01      1.39684017e-02
