model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     unitcell_area = 9e-20
model   INFO     tolerance = 1e-50
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     temperature = 500
model   INFO     corrector = ThermodynamicCorrector
model   INFO     plotter = EnergyProfilePlotter
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             O2_g: {'pressure': 5}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO     rootfinding = MDNewton
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          34.20%            0.000171      9.96492963e-01      1.34818701e-05
model.solvers.SteadyStateSolver   INFO          34.40%            0.000172      9.96495040e-01      1.29066210e-05
model.solvers.SteadyStateSolver   INFO          34.60%            0.000173      9.96497004e-01      1.23627626e-05
model.solvers.SteadyStateSolver   INFO          34.80%            0.000174      9.96498861e-01      1.18485810e-05
model.solvers.SteadyStateSolver   INFO          35.00%            0.000175      9.96500616e-01      1.13624576e-05
model.solvers.SteadyStateSolver   INFO          35.20%            0.000176      9.96502276e-01      1.09028630e-05
model.solvers.SteadyStateSolver   INFO          35.40%            0.000177      9.96503846e-01      1.04683483e-05
model.solvers.SteadyStateSolver   INFO          35.60%            0.000178      9.96505329e-01      1.00575442e-05
model.solvers.SteadyStateSolver   INFO          35.80%            0.000179      9.96506732e-01      9.66915764e-06
model.solvers.SteadyStateSolver   INFO          36.00%            0.000180      9.96508059e-01      9.30196661e-06
model.solvers.SteadyStateSolver   INFO          36.20%            0.000181      9.96509313e-01      8.95481336e-06
model.solvers.SteadyStateSolver   INFO          36.40%            0.000182      9.96510499e-01      8.62660393e-06
model.solvers.SteadyStateSolver   INFO          36.60%            0.000183      9.96511620e-01      8.31630503e-06
model.solvers.SteadyStateSolver   INFO          36.80%            0.000184      9.96512680e-01      8.02294033e-06
model.solvers.SteadyStateSolver   INFO          37.00%            0.000185      9.96513683e-01      7.74558479e-06
model.solvers.SteadyStateSolver   INFO          37.20%            0.000186      9.96514630e-01      7.48336441e-06
model.solvers.SteadyStateSolver   INFO          37.40%            0.000187      9.96515526e-01      7.23545367e-06
model.solvers.SteadyStateSolver   INFO          37.60%            0.000188      9.96516373e-01      7.00107256e-06
model.solvers.SteadyStateSolver   INFO          37.80%            0.000189      9.96517174e-01      6.77948195e-06
model.solvers.SteadyStateSolver   INFO          38.00%            0.000190      9.96517931e-01      6.56998357e-06
model.solvers.SteadyStateSolver   INFO          38.20%            0.000191      9.96518647e-01      6.37191785e-06
model.solvers.SteadyStateSolver   INFO          38.40%            0.000192      9.96519324e-01      6.18466158e-06
model.solvers.SteadyStateSolver   INFO          38.60%            0.000193      9.96519964e-01      6.00762421e-06
